age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-28 17:20:02,123,2590
75+,2020-09-28 17:20:02,1617,1906
55-74,2020-09-28 17:20:02,2784,6054
35-54,2020-09-28 17:20:02,1628,9449
20-34,2020-09-28 17:20:02,757,9522
