age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-19 17:20:02,115,1948
75+,2020-08-19 17:20:02,1530,1824
55-74,2020-08-19 17:20:02,2679,5532
35-54,2020-08-19 17:20:02,1522,8630
20-34,2020-08-19 17:20:02,695,8077
