age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-24 17:20:02,116,2007
75+,2020-08-24 17:20:02,1538,1840
55-74,2020-08-24 17:20:02,2686,5622
35-54,2020-08-24 17:20:02,1527,8770
20-34,2020-08-24 17:20:02,700,8231
