date,etl_timestamp,Yes,NO_UNKNOWN
2020-07-01,2020-09-19 17:20:03,20,139
2020-08-06,2020-09-19 17:20:03,16,146
2020-09-01,2020-09-19 17:20:03,7,201
2020-07-08,2020-09-19 17:20:03,13,110
2020-06-15,2020-09-19 17:20:03,21,74
2020-05-03,2020-09-19 17:20:03,50,119
2020-08-21,2020-09-19 17:20:03,13,78
2020-06-25,2020-09-19 17:20:03,14,110
2020-04-02,2020-09-19 17:20:03,119,242
2020-04-20,2020-09-19 17:20:03,128,364
2020-06-18,2020-09-19 17:20:03,9,91
2020-04-27,2020-09-19 17:20:03,110,319
2020-04-10,2020-09-19 17:20:03,129,450
2020-04-22,2020-09-19 17:20:03,111,422
2020-09-17,2020-09-19 17:20:03,NA,42
2020-08-12,2020-09-19 17:20:03,7,195
2020-06-13,2020-09-19 17:20:03,19,80
2020-06-22,2020-09-19 17:20:03,8,100
2020-07-31,2020-09-19 17:20:03,18,130
2020-06-07,2020-09-19 17:20:03,20,69
2020-06-12,2020-09-19 17:20:03,27,79
2020-07-21,2020-09-19 17:20:03,14,142
2020-04-04,2020-09-19 17:20:03,119,434
2020-06-09,2020-09-19 17:20:03,22,120
2020-04-17,2020-09-19 17:20:03,130,469
2020-04-29,2020-09-19 17:20:03,103,422
2020-08-04,2020-09-19 17:20:03,10,94
NA,2020-09-19 17:20:03,12,45
2020-05-02,2020-09-19 17:20:03,73,234
2020-05-31,2020-09-19 17:20:03,32,80
2020-04-16,2020-09-19 17:20:03,144,382
2020-05-01,2020-09-19 17:20:03,108,312
2020-07-15,2020-09-19 17:20:03,9,150
2020-09-11,2020-09-19 17:20:03,NA,82
2020-09-13,2020-09-19 17:20:03,NA,56
2020-06-11,2020-09-19 17:20:03,18,86
2020-03-20,2020-09-19 17:20:03,8,24
2020-03-19,2020-09-19 17:20:03,5,27
2020-04-11,2020-09-19 17:20:03,123,293
2020-05-10,2020-09-19 17:20:03,25,101
2020-06-06,2020-09-19 17:20:03,22,62
2020-09-03,2020-09-19 17:20:03,NA,120
2020-08-20,2020-09-19 17:20:03,8,100
2020-07-07,2020-09-19 17:20:03,15,124
2020-07-04,2020-09-19 17:20:03,14,55
2020-05-17,2020-09-19 17:20:03,33,109
2020-04-06,2020-09-19 17:20:03,135,420
2020-06-23,2020-09-19 17:20:03,21,134
2020-04-21,2020-09-19 17:20:03,113,396
2020-09-15,2020-09-19 17:20:03,NA,92
2020-03-30,2020-09-19 17:20:03,73,168
2020-09-14,2020-09-19 17:20:03,NA,69
2020-09-04,2020-09-19 17:20:03,NA,91
2020-08-03,2020-09-19 17:20:03,11,79
2020-05-14,2020-09-19 17:20:03,46,218
2020-09-08,2020-09-19 17:20:03,NA,51
