date,etl_timestamp,NO_UNKNOWN,Yes
2020-06-22,2020-09-23 17:20:02,100,8
2020-09-21,2020-09-23 17:20:02,53,NA
2020-04-13,2020-09-23 17:20:02,146,108
2020-06-25,2020-09-23 17:20:02,110,14
2020-07-31,2020-09-23 17:20:02,131,18
2020-06-07,2020-09-23 17:20:02,69,20
2020-09-10,2020-09-23 17:20:02,95,6
2020-05-09,2020-09-23 17:20:02,185,40
2020-04-14,2020-09-23 17:20:02,262,118
2020-06-12,2020-09-23 17:20:02,79,27
2020-07-21,2020-09-23 17:20:02,141,15
2020-05-03,2020-09-23 17:20:02,119,50
2020-04-04,2020-09-23 17:20:02,436,117
2020-05-20,2020-09-23 17:20:02,170,23
2020-06-09,2020-09-23 17:20:02,120,22
2020-04-01,2020-09-23 17:20:02,306,115
2020-09-06,2020-09-23 17:20:02,60,5
2020-04-17,2020-09-23 17:20:02,470,130
2020-08-26,2020-09-23 17:20:02,116,8
2020-07-05,2020-09-23 17:20:02,69,11
2020-07-01,2020-09-23 17:20:02,139,20
2020-05-30,2020-09-23 17:20:02,107,19
2020-04-29,2020-09-23 17:20:02,422,104
2020-08-04,2020-09-23 17:20:02,94,10
NA,2020-09-23 17:20:02,48,10
2020-05-02,2020-09-23 17:20:02,234,73
2020-04-18,2020-09-23 17:20:02,198,77
2020-05-31,2020-09-23 17:20:02,80,32
2020-07-02,2020-09-23 17:20:02,102,18
2020-04-16,2020-09-23 17:20:02,380,144
2020-05-26,2020-09-23 17:20:02,193,29
2020-05-01,2020-09-23 17:20:02,312,108
2020-03-21,2020-09-23 17:20:02,45,8
2020-06-21,2020-09-23 17:20:02,53,13
2020-04-05,2020-09-23 17:20:02,313,98
2020-08-18,2020-09-23 17:20:02,114,10
2020-07-22,2020-09-23 17:20:02,194,10
2020-07-15,2020-09-23 17:20:02,150,9
2020-09-11,2020-09-23 17:20:02,82,NA
2020-03-25,2020-09-23 17:20:02,130,40
2020-04-30,2020-09-23 17:20:02,338,97
2020-04-25,2020-09-23 17:20:02,227,102
2020-09-12,2020-09-23 17:20:02,77,NA
2020-08-22,2020-09-23 17:20:02,81,8
2020-06-29,2020-09-23 17:20:02,113,15
2020-03-28,2020-09-23 17:20:02,105,41
2020-04-23,2020-09-23 17:20:02,424,152
2020-03-31,2020-09-23 17:20:02,274,88
2020-03-17,2020-09-23 17:20:02,13,NA
2020-08-05,2020-09-23 17:20:02,134,10
2020-04-26,2020-09-23 17:20:02,115,92
2020-03-22,2020-09-23 17:20:02,39,12
2020-03-29,2020-09-23 17:20:02,163,52
2020-06-05,2020-09-23 17:20:02,97,22
2020-08-27,2020-09-23 17:20:02,133,10
2020-09-05,2020-09-23 17:20:02,63,11
2020-06-10,2020-09-23 17:20:02,93,21
2020-08-16,2020-09-23 17:20:02,83,12
2020-05-21,2020-09-23 17:20:02,282,38
2020-04-19,2020-09-23 17:20:02,170,93
2020-07-03,2020-09-23 17:20:02,118,12
2020-08-28,2020-09-23 17:20:02,120,8
2020-08-17,2020-09-23 17:20:02,76,12
2020-03-18,2020-09-23 17:20:02,7,NA
2020-05-27,2020-09-23 17:20:02,144,43
2020-05-13,2020-09-23 17:20:02,191,54
2020-07-27,2020-09-23 17:20:02,136,29
2020-04-09,2020-09-23 17:20:02,441,142
2020-05-08,2020-09-23 17:20:02,291,63
2020-08-01,2020-09-23 17:20:02,57,14
2020-07-06,2020-09-23 17:20:02,97,19
2020-04-12,2020-09-23 17:20:02,301,117
2020-05-19,2020-09-23 17:20:02,210,48
2020-07-16,2020-09-23 17:20:02,132,14
2020-07-30,2020-09-23 17:20:02,129,7
2020-06-27,2020-09-23 17:20:02,97,15
2020-09-20,2020-09-23 17:20:02,47,NA
2020-09-16,2020-09-23 17:20:02,83,NA
2020-03-26,2020-09-23 17:20:02,129,65
2020-07-09,2020-09-23 17:20:02,104,12
2020-06-17,2020-09-23 17:20:02,125,19
2020-04-03,2020-09-23 17:20:02,381,131
2020-06-28,2020-09-23 17:20:02,80,16
2020-06-08,2020-09-23 17:20:02,90,21
2020-07-25,2020-09-23 17:20:02,133,8
2020-08-08,2020-09-23 17:20:02,86,8
2020-08-31,2020-09-23 17:20:02,116,7
2020-06-30,2020-09-23 17:20:02,116,13
2020-08-11,2020-09-23 17:20:02,152,15
2020-06-03,2020-09-23 17:20:02,113,34
2020-08-30,2020-09-23 17:20:02,78,7
2020-08-14,2020-09-23 17:20:02,119,10
2020-05-07,2020-09-23 17:20:02,254,58
2020-05-23,2020-09-23 17:20:02,163,33
2020-07-12,2020-09-23 17:20:02,70,18
2020-07-29,2020-09-23 17:20:02,133,20
2020-03-24,2020-09-23 17:20:02,80,37
2020-05-18,2020-09-23 17:20:02,153,29
2020-06-14,2020-09-23 17:20:02,45,15
2020-07-23,2020-09-23 17:20:02,206,14
2020-05-12,2020-09-23 17:20:02,199,48
2020-07-14,2020-09-23 17:20:02,127,17
2020-04-28,2020-09-23 17:20:02,373,98
2020-08-02,2020-09-23 17:20:02,74,11
2020-04-15,2020-09-23 17:20:02,446,161
2020-06-01,2020-09-23 17:20:02,75,28
2020-08-25,2020-09-23 17:20:02,98,5
2020-05-04,2020-09-23 17:20:02,292,81
2020-06-16,2020-09-23 17:20:02,75,13
2020-06-19,2020-09-23 17:20:02,107,14
2020-09-18,2020-09-23 17:20:02,96,NA
2020-08-23,2020-09-23 17:20:02,54,6
2020-07-10,2020-09-23 17:20:02,96,16
2020-07-13,2020-09-23 17:20:02,117,21
2020-07-20,2020-09-23 17:20:02,109,16
2020-05-28,2020-09-23 17:20:02,176,34
2020-08-13,2020-09-23 17:20:02,96,NA
2020-09-09,2020-09-23 17:20:02,61,NA
2020-09-02,2020-09-23 17:20:02,135,6
2020-05-24,2020-09-23 17:20:02,151,26
2020-06-24,2020-09-23 17:20:02,113,17
2020-03-14,2020-09-23 17:20:02,5,NA
2020-05-29,2020-09-23 17:20:02,178,28
2020-08-24,2020-09-23 17:20:02,73,7
2020-05-11,2020-09-23 17:20:02,188,60
2020-07-24,2020-09-23 17:20:02,192,21
2020-05-05,2020-09-23 17:20:02,280,87
2020-08-15,2020-09-23 17:20:02,100,7
2020-05-22,2020-09-23 17:20:02,169,33
2020-09-03,2020-09-23 17:20:02,120,7
2020-05-16,2020-09-23 17:20:02,144,23
2020-06-20,2020-09-23 17:20:02,105,19
2020-04-07,2020-09-23 17:20:02,374,138
2020-03-27,2020-09-23 17:20:02,173,50
2020-07-17,2020-09-23 17:20:02,175,25
2020-09-07,2020-09-23 17:20:02,50,NA
2020-05-15,2020-09-23 17:20:02,215,49
2020-08-06,2020-09-23 17:20:02,146,16
2020-09-01,2020-09-23 17:20:02,203,8
2020-07-08,2020-09-23 17:20:02,110,13
2020-06-15,2020-09-23 17:20:02,74,21
2020-03-23,2020-09-23 17:20:02,53,18
2020-08-21,2020-09-23 17:20:02,78,13
2020-04-24,2020-09-23 17:20:02,386,105
2020-04-02,2020-09-23 17:20:02,242,120
2020-04-20,2020-09-23 17:20:02,366,128
2020-06-18,2020-09-23 17:20:02,91,9
2020-04-27,2020-09-23 17:20:02,320,110
2020-05-25,2020-09-23 17:20:02,100,28
2020-09-13,2020-09-23 17:20:02,57,NA
2020-04-10,2020-09-23 17:20:02,450,130
2020-07-26,2020-09-23 17:20:02,79,14
2020-06-11,2020-09-23 17:20:02,86,18
2020-03-20,2020-09-23 17:20:02,24,8
2020-03-19,2020-09-23 17:20:02,27,5
2020-04-11,2020-09-23 17:20:02,294,122
2020-05-10,2020-09-23 17:20:02,101,25
2020-08-12,2020-09-23 17:20:02,194,7
2020-06-06,2020-09-23 17:20:02,62,22
2020-06-26,2020-09-23 17:20:02,72,16
2020-08-20,2020-09-23 17:20:02,100,8
2020-07-07,2020-09-23 17:20:02,124,15
2020-07-04,2020-09-23 17:20:02,55,14
2020-09-22,2020-09-23 17:20:02,61,NA
2020-05-17,2020-09-23 17:20:02,109,33
2020-09-19,2020-09-23 17:20:02,64,NA
2020-09-04,2020-09-23 17:20:02,87,9
2020-04-06,2020-09-23 17:20:02,420,135
2020-04-08,2020-09-23 17:20:02,440,139
2020-06-23,2020-09-23 17:20:02,134,21
2020-09-15,2020-09-23 17:20:02,98,5
2020-05-06,2020-09-23 17:20:02,301,60
2020-08-07,2020-09-23 17:20:02,94,8
2020-04-21,2020-09-23 17:20:02,396,113
2020-03-30,2020-09-23 17:20:02,168,73
2020-09-14,2020-09-23 17:20:02,70,NA
2020-07-19,2020-09-23 17:20:02,96,9
2020-08-03,2020-09-23 17:20:02,79,11
2020-05-14,2020-09-23 17:20:02,218,46
2020-08-29,2020-09-23 17:20:02,110,12
2020-07-18,2020-09-23 17:20:02,100,17
2020-08-10,2020-09-23 17:20:02,98,12
2020-08-09,2020-09-23 17:20:02,100,14
2020-04-22,2020-09-23 17:20:02,420,111
2020-09-08,2020-09-23 17:20:02,47,NA
2020-06-13,2020-09-23 17:20:02,80,19
2020-07-28,2020-09-23 17:20:02,111,NA
2020-08-19,2020-09-23 17:20:02,112,5
2020-06-02,2020-09-23 17:20:02,109,24
2020-06-04,2020-09-23 17:20:02,63,22
2020-07-11,2020-09-23 17:20:02,84,16
2020-09-17,2020-09-23 17:20:02,83,NA
