date,etl_timestamp,Yes,NO_UNKNOWN
2020-04-30,2020-09-16 17:20:03,98,336
2020-04-25,2020-09-16 17:20:03,102,227
2020-09-12,2020-09-16 17:20:03,NA,76
2020-08-22,2020-09-16 17:20:03,7,84
2020-06-29,2020-09-16 17:20:03,15,113
2020-03-28,2020-09-16 17:20:03,41,105
2020-04-23,2020-09-16 17:20:03,151,424
2020-03-31,2020-09-16 17:20:03,87,275
2020-03-17,2020-09-16 17:20:03,NA,13
2020-08-05,2020-09-16 17:20:03,10,133
2020-04-26,2020-09-16 17:20:03,92,114
2020-03-22,2020-09-16 17:20:03,12,38
2020-03-29,2020-09-16 17:20:03,53,162
2020-06-21,2020-09-16 17:20:03,13,53
2020-03-25,2020-09-16 17:20:03,40,129
2020-06-05,2020-09-16 17:20:03,21,98
2020-08-27,2020-09-16 17:20:03,10,139
2020-06-10,2020-09-16 17:20:03,21,93
2020-08-16,2020-09-16 17:20:03,12,83
2020-05-21,2020-09-16 17:20:03,37,283
2020-04-19,2020-09-16 17:20:03,93,170
2020-07-03,2020-09-16 17:20:03,12,118
2020-08-28,2020-09-16 17:20:03,NA,124
2020-08-17,2020-09-16 17:20:03,12,76
2020-03-18,2020-09-16 17:20:03,NA,7
2020-05-27,2020-09-16 17:20:03,43,144
2020-05-13,2020-09-16 17:20:03,54,191
2020-07-27,2020-09-16 17:20:03,29,136
2020-04-09,2020-09-16 17:20:03,142,441
2020-05-08,2020-09-16 17:20:03,63,291
2020-08-01,2020-09-16 17:20:03,13,58
2020-07-06,2020-09-16 17:20:03,19,96
2020-04-12,2020-09-16 17:20:03,117,301
2020-05-19,2020-09-16 17:20:03,48,210
2020-07-16,2020-09-16 17:20:03,14,132
2020-07-30,2020-09-16 17:20:03,7,129
2020-06-27,2020-09-16 17:20:03,15,97
2020-07-25,2020-09-16 17:20:03,8,133
2020-08-08,2020-09-16 17:20:03,9,85
2020-08-31,2020-09-16 17:20:03,NA,115
2020-07-22,2020-09-16 17:20:03,10,194
2020-06-30,2020-09-16 17:20:03,13,116
2020-08-11,2020-09-16 17:20:03,14,152
2020-06-03,2020-09-16 17:20:03,33,114
2020-08-26,2020-09-16 17:20:03,6,121
2020-08-30,2020-09-16 17:20:03,5,80
2020-08-14,2020-09-16 17:20:03,9,120
2020-05-07,2020-09-16 17:20:03,59,253
2020-05-23,2020-09-16 17:20:03,33,163
2020-07-12,2020-09-16 17:20:03,16,71
2020-07-29,2020-09-16 17:20:03,20,134
2020-03-24,2020-09-16 17:20:03,39,78
2020-05-18,2020-09-16 17:20:03,29,153
2020-06-14,2020-09-16 17:20:03,15,45
2020-07-23,2020-09-16 17:20:03,14,206
2020-05-12,2020-09-16 17:20:03,48,199
2020-07-14,2020-09-16 17:20:03,17,127
2020-05-09,2020-09-16 17:20:03,40,186
2020-04-28,2020-09-16 17:20:03,98,374
2020-08-02,2020-09-16 17:20:03,11,74
2020-04-15,2020-09-16 17:20:03,161,446
2020-06-01,2020-09-16 17:20:03,27,76
2020-08-25,2020-09-16 17:20:03,NA,100
2020-08-18,2020-09-16 17:20:03,10,116
2020-05-04,2020-09-16 17:20:03,81,292
2020-06-16,2020-09-16 17:20:03,13,75
2020-06-19,2020-09-16 17:20:03,13,108
2020-08-23,2020-09-16 17:20:03,6,54
2020-07-10,2020-09-16 17:20:03,17,96
2020-07-13,2020-09-16 17:20:03,21,117
2020-06-08,2020-09-16 17:20:03,21,90
2020-07-20,2020-09-16 17:20:03,16,109
2020-05-28,2020-09-16 17:20:03,34,176
2020-08-13,2020-09-16 17:20:03,NA,97
2020-04-14,2020-09-16 17:20:03,121,260
2020-09-09,2020-09-16 17:20:03,NA,62
2020-09-02,2020-09-16 17:20:03,NA,137
2020-05-24,2020-09-16 17:20:03,26,151
2020-06-24,2020-09-16 17:20:03,16,114
2020-03-14,2020-09-16 17:20:03,NA,5
2020-05-29,2020-09-16 17:20:03,27,179
2020-04-03,2020-09-16 17:20:03,131,381
2020-08-24,2020-09-16 17:20:03,6,76
2020-05-11,2020-09-16 17:20:03,59,188
2020-07-24,2020-09-16 17:20:03,20,193
2020-05-05,2020-09-16 17:20:03,87,281
2020-08-15,2020-09-16 17:20:03,8,98
2020-07-05,2020-09-16 17:20:03,11,69
2020-04-18,2020-09-16 17:20:03,78,197
2020-05-22,2020-09-16 17:20:03,33,169
2020-05-16,2020-09-16 17:20:03,23,144
2020-06-20,2020-09-16 17:20:03,19,105
2020-04-07,2020-09-16 17:20:03,139,373
2020-03-27,2020-09-16 17:20:03,50,173
2020-07-17,2020-09-16 17:20:03,25,175
2020-09-07,2020-09-16 17:20:03,NA,50
2020-05-15,2020-09-16 17:20:03,49,215
2020-07-01,2020-09-16 17:20:03,19,140
2020-08-06,2020-09-16 17:20:03,15,147
2020-09-01,2020-09-16 17:20:03,6,202
2020-07-08,2020-09-16 17:20:03,13,109
2020-06-15,2020-09-16 17:20:03,21,74
2020-05-03,2020-09-16 17:20:03,50,119
2020-03-23,2020-09-16 17:20:03,18,53
2020-08-21,2020-09-16 17:20:03,13,79
2020-06-25,2020-09-16 17:20:03,14,110
