date,etl_timestamp,NO_UNKNOWN,Yes
2020-04-02,2020-09-22 17:20:03,242,120
2020-04-20,2020-09-22 17:20:03,365,128
2020-08-06,2020-09-22 17:20:03,146,16
2020-04-07,2020-09-22 17:20:03,373,139
2020-06-18,2020-09-22 17:20:03,91,9
2020-04-27,2020-09-22 17:20:03,320,110
2020-05-25,2020-09-22 17:20:03,100,28
2020-09-13,2020-09-22 17:20:03,58,NA
2020-07-15,2020-09-22 17:20:03,150,9
2020-04-10,2020-09-22 17:20:03,450,130
2020-07-26,2020-09-22 17:20:03,79,14
2020-06-11,2020-09-22 17:20:03,86,18
2020-03-20,2020-09-22 17:20:03,24,8
2020-03-19,2020-09-22 17:20:03,27,5
2020-04-11,2020-09-22 17:20:03,293,123
2020-07-16,2020-09-22 17:20:03,132,14
2020-05-10,2020-09-22 17:20:03,100,25
2020-05-24,2020-09-22 17:20:03,151,26
2020-05-11,2020-09-22 17:20:03,188,60
2020-08-12,2020-09-22 17:20:03,194,7
2020-04-16,2020-09-22 17:20:03,380,144
2020-09-02,2020-09-22 17:20:03,136,5
2020-06-06,2020-09-22 17:20:03,62,22
2020-07-31,2020-09-22 17:20:03,131,18
2020-09-03,2020-09-22 17:20:03,120,7
2020-06-26,2020-09-22 17:20:03,72,16
2020-08-20,2020-09-22 17:20:03,100,8
2020-06-19,2020-09-22 17:20:03,107,14
2020-07-07,2020-09-22 17:20:03,124,15
2020-07-04,2020-09-22 17:20:03,55,14
2020-07-29,2020-09-22 17:20:03,133,20
2020-05-04,2020-09-22 17:20:03,292,81
2020-09-01,2020-09-22 17:20:03,203,8
2020-03-26,2020-09-22 17:20:03,128,66
2020-06-09,2020-09-22 17:20:03,120,22
2020-05-17,2020-09-22 17:20:03,109,33
2020-07-08,2020-09-22 17:20:03,110,13
2020-09-19,2020-09-22 17:20:03,63,NA
NA,2020-09-22 17:20:03,46,10
2020-09-04,2020-09-22 17:20:03,87,9
2020-06-15,2020-09-22 17:20:03,74,21
2020-04-06,2020-09-22 17:20:03,420,135
2020-06-12,2020-09-22 17:20:03,79,27
2020-04-17,2020-09-22 17:20:03,469,131
2020-04-08,2020-09-22 17:20:03,440,139
2020-07-25,2020-09-22 17:20:03,133,8
2020-05-16,2020-09-22 17:20:03,144,23
2020-03-27,2020-09-22 17:20:03,173,50
2020-04-12,2020-09-22 17:20:03,301,117
2020-06-23,2020-09-22 17:20:03,134,21
2020-05-06,2020-09-22 17:20:03,301,59
2020-08-07,2020-09-22 17:20:03,94,8
2020-04-21,2020-09-22 17:20:03,396,113
2020-08-02,2020-09-22 17:20:03,74,11
2020-09-15,2020-09-22 17:20:03,100,NA
2020-07-21,2020-09-22 17:20:03,141,15
2020-04-15,2020-09-22 17:20:03,446,161
2020-03-30,2020-09-22 17:20:03,168,73
2020-08-22,2020-09-22 17:20:03,81,8
2020-05-02,2020-09-22 17:20:03,234,73
2020-05-31,2020-09-22 17:20:03,80,32
2020-06-16,2020-09-22 17:20:03,75,13
2020-09-14,2020-09-22 17:20:03,70,NA
2020-05-28,2020-09-22 17:20:03,176,34
2020-06-10,2020-09-22 17:20:03,93,21
2020-07-19,2020-09-22 17:20:03,96,9
2020-08-21,2020-09-22 17:20:03,78,13
2020-06-30,2020-09-22 17:20:03,116,13
2020-08-03,2020-09-22 17:20:03,79,11
2020-08-24,2020-09-22 17:20:03,72,7
2020-06-07,2020-09-22 17:20:03,69,20
2020-05-14,2020-09-22 17:20:03,218,46
2020-07-20,2020-09-22 17:20:03,109,16
2020-08-29,2020-09-22 17:20:03,110,12
2020-07-18,2020-09-22 17:20:03,100,17
2020-08-10,2020-09-22 17:20:03,98,12
2020-08-09,2020-09-22 17:20:03,100,14
2020-07-23,2020-09-22 17:20:03,206,14
2020-08-04,2020-09-22 17:20:03,94,10
2020-06-20,2020-09-22 17:20:03,105,19
2020-05-08,2020-09-22 17:20:03,292,64
2020-05-05,2020-09-22 17:20:03,280,87
2020-04-19,2020-09-22 17:20:03,170,93
2020-07-06,2020-09-22 17:20:03,97,19
2020-04-22,2020-09-22 17:20:03,422,111
2020-09-08,2020-09-22 17:20:03,49,NA
2020-04-29,2020-09-22 17:20:03,422,105
2020-05-23,2020-09-22 17:20:03,163,33
2020-05-12,2020-09-22 17:20:03,199,48
2020-06-13,2020-09-22 17:20:03,80,19
2020-05-01,2020-09-22 17:20:03,312,107
2020-05-19,2020-09-22 17:20:03,210,48
2020-03-24,2020-09-22 17:20:03,78,39
2020-03-23,2020-09-22 17:20:03,53,18
2020-07-27,2020-09-22 17:20:03,136,29
2020-07-02,2020-09-22 17:20:03,102,18
2020-08-31,2020-09-22 17:20:03,116,7
2020-07-28,2020-09-22 17:20:03,111,NA
2020-09-10,2020-09-22 17:20:03,94,6
2020-09-05,2020-09-22 17:20:03,63,11
2020-04-01,2020-09-22 17:20:03,306,115
2020-06-28,2020-09-22 17:20:03,80,16
2020-08-19,2020-09-22 17:20:03,112,5
2020-06-02,2020-09-22 17:20:03,109,24
2020-05-26,2020-09-22 17:20:03,193,29
2020-07-09,2020-09-22 17:20:03,104,12
2020-08-16,2020-09-22 17:20:03,83,12
2020-05-30,2020-09-22 17:20:03,107,19
2020-05-18,2020-09-22 17:20:03,153,29
2020-06-04,2020-09-22 17:20:03,63,22
2020-07-13,2020-09-22 17:20:03,117,21
2020-05-15,2020-09-22 17:20:03,215,49
2020-03-21,2020-09-22 17:20:03,45,9
2020-07-24,2020-09-22 17:20:03,192,21
2020-04-25,2020-09-22 17:20:03,227,102
2020-04-05,2020-09-22 17:20:03,313,98
2020-08-27,2020-09-22 17:20:03,133,10
2020-08-15,2020-09-22 17:20:03,100,7
2020-08-05,2020-09-22 17:20:03,134,10
2020-07-11,2020-09-22 17:20:03,84,16
2020-05-22,2020-09-22 17:20:03,170,33
2020-09-06,2020-09-22 17:20:03,60,5
2020-08-23,2020-09-22 17:20:03,54,6
2020-05-20,2020-09-22 17:20:03,170,23
2020-04-24,2020-09-22 17:20:03,386,105
2020-06-01,2020-09-22 17:20:03,75,28
2020-06-29,2020-09-22 17:20:03,113,15
2020-09-17,2020-09-22 17:20:03,81,NA
2020-06-17,2020-09-22 17:20:03,125,19
2020-07-17,2020-09-22 17:20:03,175,25
2020-07-10,2020-09-22 17:20:03,96,16
2020-06-22,2020-09-22 17:20:03,100,8
2020-04-13,2020-09-22 17:20:03,146,108
2020-06-25,2020-09-22 17:20:03,110,14
2020-05-09,2020-09-22 17:20:03,185,40
2020-04-14,2020-09-22 17:20:03,260,120
2020-05-03,2020-09-22 17:20:03,119,50
2020-04-04,2020-09-22 17:20:03,434,119
2020-08-26,2020-09-22 17:20:03,116,8
2020-07-05,2020-09-22 17:20:03,69,11
2020-07-01,2020-09-22 17:20:03,139,20
2020-04-18,2020-09-22 17:20:03,197,78
2020-06-21,2020-09-22 17:20:03,53,13
2020-08-18,2020-09-22 17:20:03,114,10
2020-07-22,2020-09-22 17:20:03,194,10
2020-09-11,2020-09-22 17:20:03,81,NA
2020-03-25,2020-09-22 17:20:03,130,40
2020-09-16,2020-09-22 17:20:03,82,NA
2020-04-03,2020-09-22 17:20:03,381,131
2020-06-08,2020-09-22 17:20:03,90,21
2020-04-30,2020-09-22 17:20:03,337,99
2020-09-12,2020-09-22 17:20:03,77,NA
2020-03-28,2020-09-22 17:20:03,105,41
2020-04-23,2020-09-22 17:20:03,423,152
2020-03-31,2020-09-22 17:20:03,274,88
2020-03-17,2020-09-22 17:20:03,13,NA
2020-04-26,2020-09-22 17:20:03,115,92
2020-03-22,2020-09-22 17:20:03,38,12
2020-03-29,2020-09-22 17:20:03,162,53
2020-06-05,2020-09-22 17:20:03,97,22
2020-05-21,2020-09-22 17:20:03,281,38
2020-07-03,2020-09-22 17:20:03,118,12
2020-08-28,2020-09-22 17:20:03,120,8
2020-08-17,2020-09-22 17:20:03,76,12
