date,etl_timestamp,Yes,NO_UNKNOWN
2020-03-26,2020-09-10 17:20:02,66,129
2020-07-09,2020-09-10 17:20:02,12,102
2020-06-17,2020-09-10 17:20:02,19,126
2020-04-03,2020-09-10 17:20:02,131,381
2020-06-28,2020-09-10 17:20:02,16,79
2020-04-13,2020-09-10 17:20:02,108,146
2020-06-08,2020-09-10 17:20:02,21,89
2020-04-30,2020-09-10 17:20:02,99,337
2020-04-25,2020-09-10 17:20:02,102,227
2020-06-29,2020-09-10 17:20:02,14,114
2020-03-28,2020-09-10 17:20:02,41,105
2020-04-23,2020-09-10 17:20:02,151,424
2020-03-31,2020-09-10 17:20:02,87,275
2020-03-17,2020-09-10 17:20:02,NA,13
2020-08-05,2020-09-10 17:20:02,9,131
2020-04-26,2020-09-10 17:20:02,92,114
2020-03-22,2020-09-10 17:20:02,12,38
2020-03-29,2020-09-10 17:20:02,53,162
2020-06-21,2020-09-10 17:20:02,13,53
2020-03-25,2020-09-10 17:20:02,40,129
2020-06-05,2020-09-10 17:20:02,21,98
2020-08-27,2020-09-10 17:20:02,9,133
2020-06-10,2020-09-10 17:20:02,21,93
2020-08-16,2020-09-10 17:20:02,11,84
2020-05-21,2020-09-10 17:20:02,37,282
2020-04-19,2020-09-10 17:20:02,93,170
2020-07-03,2020-09-10 17:20:02,12,117
2020-08-28,2020-09-10 17:20:02,NA,124
2020-08-17,2020-09-10 17:20:02,12,76
2020-03-18,2020-09-10 17:20:02,NA,7
2020-05-27,2020-09-10 17:20:02,43,144
2020-05-13,2020-09-10 17:20:02,54,191
2020-07-27,2020-09-10 17:20:02,29,136
2020-04-09,2020-09-10 17:20:02,143,440
2020-05-08,2020-09-10 17:20:02,64,292
2020-08-01,2020-09-10 17:20:02,13,54
2020-07-06,2020-09-10 17:20:02,19,96
2020-04-12,2020-09-10 17:20:02,117,301
2020-05-19,2020-09-10 17:20:02,48,210
2020-07-16,2020-09-10 17:20:02,14,132
2020-07-30,2020-09-10 17:20:02,6,130
2020-06-27,2020-09-10 17:20:02,15,97
2020-07-25,2020-09-10 17:20:02,8,133
2020-08-08,2020-09-10 17:20:02,9,85
2020-08-31,2020-09-10 17:20:02,NA,113
2020-07-22,2020-09-10 17:20:02,10,194
2020-06-30,2020-09-10 17:20:02,13,116
2020-08-11,2020-09-10 17:20:02,14,152
2020-06-03,2020-09-10 17:20:02,33,114
2020-08-26,2020-09-10 17:20:02,6,115
2020-08-14,2020-09-10 17:20:02,7,122
2020-05-07,2020-09-10 17:20:02,59,253
2020-05-23,2020-09-10 17:20:02,33,163
2020-07-12,2020-09-10 17:20:02,16,72
2020-07-29,2020-09-10 17:20:02,19,134
2020-03-24,2020-09-10 17:20:02,39,78
2020-05-18,2020-09-10 17:20:02,29,153
2020-06-14,2020-09-10 17:20:02,15,45
2020-07-23,2020-09-10 17:20:02,14,206
2020-05-12,2020-09-10 17:20:02,49,199
2020-07-14,2020-09-10 17:20:02,16,128
2020-05-09,2020-09-10 17:20:02,40,186
2020-04-28,2020-09-10 17:20:02,99,373
2020-08-02,2020-09-10 17:20:02,11,74
2020-04-15,2020-09-10 17:20:02,161,446
2020-06-01,2020-09-10 17:20:02,27,76
2020-08-25,2020-09-10 17:20:02,5,95
2020-08-18,2020-09-10 17:20:02,10,113
2020-05-04,2020-09-10 17:20:02,82,291
2020-06-16,2020-09-10 17:20:02,13,75
2020-06-19,2020-09-10 17:20:02,13,108
2020-08-23,2020-09-10 17:20:02,5,54
2020-07-10,2020-09-10 17:20:02,16,96
2020-07-13,2020-09-10 17:20:02,21,117
2020-07-20,2020-09-10 17:20:02,16,109
