age,count,etl_timestamp
20-34,8508,2020-08-12 17:20:02
55-74,8064,2020-08-12 17:20:02
75+,3313,2020-08-12 17:20:02
<20,1943,2020-08-12 17:20:02
35-54,9881,2020-08-12 17:20:02
