age,count,etl_timestamp
20-34,7163,2020-07-18 17:20:02
55-74,7476,2020-07-18 17:20:02
75+,3186,2020-07-18 17:20:02
<20,1545,2020-07-18 17:20:02
35-54,8812,2020-07-18 17:20:02
