age,count,etl_timestamp
20-34,7429,2020-07-22 17:20:02
55-74,7580,2020-07-22 17:20:02
75+,3209,2020-07-22 17:20:02
<20,1624,2020-07-22 17:20:02
35-54,9018,2020-07-22 17:20:02
