age,count,etl_timestamp
20-34,10073,2020-09-22 17:20:03
55-74,8747,2020-09-22 17:20:03
75+,3507,2020-09-22 17:20:03
<20,2632,2020-09-22 17:20:03
35-54,10920,2020-09-22 17:20:03
240,1,2020-09-22 17:20:03
