age,count,etl_timestamp
20-34,5653,2020-06-09 17:20:01
55-74,6757,2020-06-09 17:20:01
75+,2936,2020-06-09 17:20:01
<20,910,2020-06-09 17:20:01
35-54,7557,2020-06-09 17:20:01
