age,count,etl_timestamp
20-34,6536,2020-07-04 17:20:02
55-74,7226,2020-07-04 17:20:02
75+,3109,2020-07-04 17:20:02
<20,1337,2020-07-04 17:20:02
35-54,8344,2020-07-04 17:20:02
