age,count,etl_timestamp
20-34,6520,2020-07-03 17:20:03
55-74,7221,2020-07-03 17:20:03
75+,3109,2020-07-03 17:20:03
<20,1336,2020-07-03 17:20:03
35-54,8337,2020-07-03 17:20:03
