age,count,etl_timestamp
20-34,6667,2020-07-07 17:20:02
55-74,7269,2020-07-07 17:20:02
75+,3123,2020-07-07 17:20:02
<20,1375,2020-07-07 17:20:02
35-54,8454,2020-07-07 17:20:02
