age,count,etl_timestamp
20-34,6632,2020-07-06 17:20:02
55-74,7253,2020-07-06 17:20:02
75+,3119,2020-07-06 17:20:02
<20,1365,2020-07-06 17:20:02
35-54,8428,2020-07-06 17:20:02
