age,count,etl_timestamp
20-34,6685,2020-07-08 17:20:03
55-74,7283,2020-07-08 17:20:03
75+,3132,2020-07-08 17:20:03
<20,1386,2020-07-08 17:20:03
35-54,8470,2020-07-08 17:20:03
